diplomas.txt
NA
column, varname, vartype
564 "pct_No_Plumb_ACSMOE_08_12" n
565 "pct_Recent_Built_HU_ACS_08_12" n
566 "pct_Recent_Built_HU_ACSMOE_08_12" n
567 "pct_TEA_MailOutMailBack_CEN_2010" n
568 "pct_TEA_Update_Leave_CEN_2010" n
569 "pct_Census_Mail_Returns_CEN_2010" n
570 "pct_Vacant_CEN_2010" n
571 "pct_Deletes_CEN_2010" n
572 "pct_Census_UAA_CEN_2010" n
573 "pct_Mailback_Count_CEN_2010" n
574 "pct_FRST_FRMS_CEN_2010" n
575 "pct_RPLCMNT_FRMS_CEN_2010" n
576 "pct_BILQ_Mailout_count_CEN_2010" n

